Spring Mobile - AT&T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comp,1/31/2016,,8/27/2017,,,,NA
Store #,Store Name,Address,City,State,Zip,Market,Region,District,State,Open Date,Market VP,Region Director,District Manager,,Classification,Acquisition Name,Store Tier, Sq Ft , Sq Ft Range ,Closed Date,Status,Attribute,Base?,Comp?,Same?,,,1396,,,,Same,8/28/2016,,,,,,Base
1853,South Sarasota,4238 S Tamiami Trl,Sarasota,FL,34231,South Market,Florida Gulf Region,South Tampa,Florida,12/1/2015,Brady Bowen,Mitch Nelson,Shane Parks,,Acquisition,Noble Comm,5,"2,704", 2500-3000 ,,Open,Acquisition - Noble Comm,,x,x,5,,,,,,,,,,,,,
1854,Cooper City,5566 S Flamingo Rd,Cooper City,FL,33330,,,,Florida,12/1/2015,,,,,Acquisition,Noble Comm,,,,1/28/2017,FY16 Closure,Acquisition - Noble Comm,,,,,,,,,,,,,,,,,
1855,Boca Raton,9218 Glades Road,Boca Raton,FL,33434,,,,Florida,12/1/2015,,,,,Acquisition,Noble Comm,,,,1/28/2017,FY16 Closure,Acquisition - Noble Comm,,,,,,,,,,,,,,,,,
1856,Windermere,"4757 The Grove Dr, Stes 148 & 156",Windermere,FL,34786,South Market,Florida Region,Orlando,Florida,12/1/2015,Brady Bowen,Scott Groskreutz,Joseph Fletcher,,Acquisition,Noble Comm,4,"2,100", 2000-2500 ,,Open,Acquisition - Noble Comm,,x,x,5,,,,,,,,,,,,,
1857,Harbor Bay,607 S Ft Harrison Ave,Clearwater,FL,33756,South Market,Florida Gulf Region,South Tampa,Florida,12/1/2015,Brady Bowen,Mitch Nelson,Shane Parks,,Acquisition,Noble Comm,5,"2,144", 2000-2500 ,,Open,Acquisition - Noble Comm,,x,x,5,,,,,,,,,,,,,
1859,Palm Coast,"1475 NW Palm Coast Parkway, Ste 105",Palm Coast,FL,32137,South Market,Florida Region,Saint Augustine,Florida,12/1/2015,Brady Bowen,Scott Groskreutz,Nicholas Reckendorf,,Acquisition,Noble Comm,3,"1,200", 1000-1500 ,,Open,Acquisition - Noble Comm,,x,x,3,,,,,,,,,,,,,
1860,Mills Park,"1486 Mills Ave, Ste 110",Orlando,FL,32803,South Market,Florida Region,Orlando,Florida,12/1/2015,Brady Bowen,Scott Groskreutz,Joseph Fletcher,,Acquisition,Noble Comm,5,"1,461", 1000-1500 ,,Open,Acquisition - Noble Comm,,x,x,5,,,,,,,,,,,,,
1861,Wesley Chapel,5924 Monroe Weddington Rd,Wesley Chapel,NC,28104,Northeast Market,Atlantic Region,Charlotte,North Carolina,12/1/2015,Kirby Loeck,Joey Halley,Shannon Esh,,Acquisition,Noble Comm,5,"1,000", 500-1000 ,,Open,Acquisition - Noble Comm,,x,x,5,,,,,,,,,,,,,
1862,Mint Hill,"6820 Matthews Mint Hill Rd, Ste 201",Mint Hill,NC,28227,Northeast Market,Atlantic Region,Charlotte,North Carolina,12/1/2015,Kirby Loeck,Joey Halley,Shannon Esh,,Acquisition,Noble Comm,3,"1,564", 1500-2000 ,,Open,Acquisition - Noble Comm,,x,x,4,,,,,,,,,,,,,
1863,Albemarle,723-A Leonard Avenue,Albemarle,NC,28001,Northeast Market,Atlantic Region,Central NC,North Carolina,12/1/2015,Kirby Loeck,Joey Halley,Tonya Holland,,Acquisition,Noble Comm,3,"2,000", 1500-2000 ,,Open,Acquisition - Noble Comm,,x,x,3,,,,,,,,,,,,,
1864,Belmont,"6509 Wilkinson Blvd, Ste A",Belmont,NC,28012,Northeast Market,Atlantic Region,Charlotte,North Carolina,12/1/2015,Kirby Loeck,Joey Halley,Shannon Esh,,Acquisition,Noble Comm,4,"2,500", 2000-2500 ,,Open,Acquisition - Noble Comm,,x,x,4,,,,,,,,,,,,,
1865,Tryon St,"8943 S Tryon St, Ste B",Charlotte,NC,28273,Northeast Market,Atlantic Region,Charlotte,North Carolina,12/1/2015,Kirby Loeck,Joey Halley,Shannon Esh,,Acquisition,Noble Comm,4,"1,200", 1000-1500 ,,Open,Acquisition - Noble Comm,,x,x,5,,,,,,,,,,,,,
1866,Steelcroft Parkway,"13545 Steelcroft Parkway, Ste 100",Charlotte,NC,28278,Northeast Market,Atlantic Region,Charlotte,North Carolina,12/1/2015,Kirby Loeck,Joey Halley,Shannon Esh,,Acquisition,Noble Comm,1,"1,533", 1500-2000 ,,Open,Acquisition - Noble Comm,,x,x,2,,,,,,,,,,,,,
