"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Spring Mobile Multi-Tracker","","","","","","","","","Store Charactaristics","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Formula Link","AT&T Region","AT&T Market","Spring Market","Region","District","Loc","Store Name","Street Address","City, State, Zip","Square Feet","Total Monthly Rent","Lease Expiration","October 2017 Total Ops","Average Last 12 Months Ops","Average Traffic Count Last 12 Months","June SMF","Dealer Code","Exterior Photo","Interior Photo","Build Type","Store Type","C&C Designation","Remodel or Open Date","Authorized Retailer Tag Line","Pylon/Monument Panels","Selling Walls","Memorable Accessory Wall","Cash Wrap Expansion","Window Wrap Grpahics","Live DTV","Learning Tables","Community Table","Diamond Displays","C Fixtures","TIO Kiosk","Approved for Flex Blade","Cap Index Score","Selling Walls Notes"
"","1769 Kingstowne","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Arlington","1769","Kingstowne","5890 Kingstowne Center Suite 120","Alexandria, VA 22315","2440","$10,300.40","5/31/2019","110","104","1512","$5,532.22","GP7W5","https://www.dropbox.com/s/bpynjvqfppz0dpr/1769%20Kingstowne%20Outside.jpg?dl=0","https://www.dropbox.com/s/7qhzsi2qn6h9cqg/1769%20Kingstowne%20Inside.jpg?dl=0","DES1","Inline Strip","","","YES","0","13","0","27 Panel","","Installed","6","YES","1","1","NO","NO","",""
"","1770 Falls Church","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Arlington","1770","Falls Church","8110-B Arlington Blvd","Falls Church, VA 22042","1398","$7,163.00","12/31/2019","146","126","1265","$5,272.89","44J6O","https://www.dropbox.com/s/e2zyhvj7z47xtwc/1770%20Falls%20Church%20Outside.jpg?dl=0","https://www.dropbox.com/s/ywnnsdqnjeh3i8c/1770%20Falls%20Church%20Inside.jpg?dl=0","DES1","Inline Strip","","","YES","0","11","0","NO","","Pending","2","YES","0","0","NO","NO","",""
"","1771 Vienna","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Arlington","1771","Vienna","211 E Maple Ave","Vienna, VA 22180","1361","$8,858.26","7/31/2021","156","156","1636","$4,696.77","Z9U0R","https://www.dropbox.com/s/bx9mtwh8gv2xhul/1771%20Vienna%20Outside.jpg?dl=0","https://www.dropbox.com/s/0n3qkuwrugr8vtf/1771%20Vienna%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","","YES","0","11","0","NO","","Denied","2","YES","0","0","NO","NO","",""
"","879 Roxboro","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Central NC","879","Roxboro","1021 Durham Rd","Roxboro, NC 27573","2300","$3,407.34","1/31/2021","72","95","1606","$1,954.86","366J9","https://www.dropbox.com/s/wjvvimkuvq8dn23/879%20Roxboro.jpg?dl=0","https://www.dropbox.com/s/txc8wwvf67woqhm/879%20Roxboro%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","6/24/2015","YES","0","12","0","27 Panel","","Installed","6","YES","1","2","NO","","",""
"","882 Lexington NC","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Central NC","882","Lexington NC","288 Lowes Blvd","Lexington, NC 27292","2400","$4,481.30","5/31/2019","132","132","1800","$2,067.85","XIGYR","https://www.dropbox.com/s/n53ilgxqppb0uda/882%20Lexington.jpg?dl=0","https://www.dropbox.com/s/qyf9ggnh0i5rbak/882%20Lexington%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","6/24/2015","YES","0","12","0","27 Panel","","Installed","6","YES","0","2","NO","","",""
"","1863 Albemarle","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Central NC","1863","Albemarle","723 Leonard Ave","Albemarle, NC 28001","2000","$3,000.01","8/31/20","189","216","2808","$7,896.61","ETBIP","https://www.dropbox.com/s/yzivsjls19jye2s/1863%20Albemarle%20Outside.jpg?dl=0","https://www.dropbox.com/s/6chndm1dtu7vuir/1863%20Albemarle%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","8/17/2016","YES","2","11","0","NO","","Installed","2","YES","0","2","NO","","",""
"","2344 Elkin","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Central NC","2344","Elkin","544 CC Camp Rd Suite 1500","Elkin, NC 28621","1200","$2,480.00","8/31/2017","170","96","1459","$6,765.88","60DX9","https://www.dropbox.com/s/xwnds5u00e5lt64/2344%20Elkin%20Outside.jpg?dl=0","https://www.dropbox.com/s/senu2vlu8obvfhd/2344%20Elkin%20Inside.jpg?dl=0","GEN","Inline Strip","","","YES","1","9","0","NO","","Installed","0","NO","0","0","NO","","",""
"","2345 Highpoint Main St","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Central NC","2345","Highpoint Main St","2749 S Main St","Highpoint, NC 27263","1953","$3,700.00","1/31/2019","123","126","1883","$2,422.55","Z3I57","","","DES1","Stand Alone","","","YES","2","12","0","NO","","Installed","3","YES","2","2","NO","","",""
"","2346 Mebane","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Central NC","2346","Mebane","3886 Brundage Ln","Mebane, NC 27302","1500","$4,146.82","12/31/2020","89","95","1226","$1,406.05","5QXEI","","","DES1","Inline Strip","","","YES","1","12","0","NO","","Denied","2","YES","1","3","NO","","",""
"","2347 Mount Airy","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Central NC","2347","Mount Airy","1996 Rockford S Suite D","Mt.Airy, NC 27030","1700","","5/31/2022","240","172","1782","$6,742.95","9XMVN","https://www.dropbox.com/s/xtmmas0opf74oxp/2347%20Mt.%20Airy%20Andy%20Griffith%20Parkway%20Outside.jpg?dl=0","https://www.dropbox.com/s/567gokwj5dnhckn/2347%20Mt.%20Airy%20Andy%20Griffith%20Parkway%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","5/31/2017","NO","","11","1","NO","","Installed","3","YES","0","0","NO","","",""
"","2507 Highpoint Samet Dr","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Central NC","2507","Highpoint Samet Dr","5870 Samet Dr Suite 115","High Point, NC 27265","1606","$3,480.17","12/31/2018","52","56","765","$1,110.78","FO3OI","https://www.dropbox.com/s/fk8fo57vgepj5xt/2507%20Highpoint%20Outside.jpg?dl=0","https://www.dropbox.com/s/qzs578vp43jc787/2507%20Highpoint%20Inside.jpg?dl=0","DES1","Inline Strip","","","YES","1","13","0","NO","","Pending","2","YES","1","2","NO","","",""
"","2544 Knightdale","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Central NC","2544","Knightdale","1018 Shoppes at Midway Dr Suite A","Knightdale, NC 27545","2800","$7,239.34","10/31/2018","114","137","2022","$2,404.49","QLHFH","","https://drive.google.com/a/springmobile.com/file/d/0Bz7Kh7NSY_yfcVp3YnJhbzFjZXM/view?usp=sharing","DES1","End Cap Strip","","","YES","2","11","0","NO","","Pending","3","YES","1","2","NO","","",""
"","880 Charlotte","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Charlotte","880","Charlotte","3202 Wilkinson Blvd #C1","Charlotte, NC 28208","2400","$3,688.40","1/31/2018","91","98","1885","$1,223.14","CX5J3","https://www.dropbox.com/s/cju28q361bfi6xf/880%20Charlotte%20Outside.jpg?dl=0","https://www.dropbox.com/s/pwf7b0aapzx313y/880%20Charlotte%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","9/10/2015","YES","0","13","0","NO","","Installed","3","YES","1","2","NO","","588",""
"","881 Epicentre","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Charlotte","881","Epicentre","210 E Trade St C244","Charlotte, NC 28202","1497","$7,695.68","8/31/2021","144","140","1628","$683.70","LBCYN","https://www.dropbox.com/s/61j3vky2tblvvt3/881%20Epicenrtre%20Outside.jpg?dl=0","https://www.dropbox.com/s/lobmgm18czeo0vh/881%20Epicenrtre%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","8/10/2016","YES","0","11","0","NO","","Denied","2","YES","0","0","NO","","462",""
"","1818 Piper Glen","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Charlotte","1818","Piper Glen","7856 Rea Rd Suite B","Charlotte, NC 28277","2203","$7,272.40","3/31/2020","159","103","1145","$1,007.84","FDWIV","https://www.dropbox.com/s/wwjb8ptu6wf5doo/1818%20Piper%20Glen%20Outside.jpg?dl=0","https://www.dropbox.com/s/asq2iqet29t9rcu/1818%20Piper%20Glen%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","1/13/2015","YES","0","11","0","NO","","Installed","4","YES","1","2","NO","","100",""
"","1861 Wesley Chapel","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Charlotte","1861","Wesley Chapel","5924 Monroe Weddington Rd","Wesley Chapel, NC 28104","1000","$2,617.49","1/31/2021","101","101","902","$2,710.81","NH9NI","https://www.dropbox.com/s/jpuv90e4f5ghwau/1861%20Wesley%20Chapel%20Outside.jpg?dl=0","https://www.dropbox.com/s/ntr463z4y23awdo/1861%20Wesley%20Chapel%20Inside.jpg?dl=0","DES1s","End Cap Strip","Complete","8/6/2016","YES","0","9","0","NO","Installed","Installed","2","NO","1","0","NO","","",""
"","1862 Mint Hill","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Charlotte","1862","Mint Hill","6820 Matthews Mint Hill Rd Suite 201","Mint Hill, NC 28227","1564","$3,472.08","5/31/2021","155","155","1723","$16,039.87","F2XLZ","https://www.dropbox.com/s/dlk9h529twe476p/1862%20Mint%20Hill%20Outside.jpg?dl=0","https://www.dropbox.com/s/3xaw178nzo01lky/1862%20Mint%20hill%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","3/30/2016","YES","0","11","0","NO","","Pending","2","YES","1","1","NO","","275",""
"","1864 Belmont","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Charlotte","1864","Belmont","6509 Wilkinson Blvd Suite A","Belmont, NC 28012","2500","$2,660.00","2/28/19","119","118","1681","$2,265.16","3VHGL","https://www.dropbox.com/s/mfmcam5yhgyfmxh/1864%20Belmont%20Outside.jpg?dl=0","","DES2","Inline Strip","","","YES","4","11","0","NO","","Installed","0","NO","1","2","NO","","",""
"","1865 Tryon St","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Charlotte","1865","Tryon St","8943 S Tryon St Suite B","Charlotte, NC 28273","1200","$3,746.19","5/31/2018","67","93","1308","$2,872.91","9J3XT","https://www.dropbox.com/s/278sbe0psb091i8/1865%20Tryon%20St.jpg?dl=0","","GEN","Inline Strip","","","YES","2","9","0","NO","","Pending","0","NO","0","0","NO","","",""
"","1866 Steelcroft Parkway","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Charlotte","1866","Steelcroft Parkway","13545 Suiteelecroft Pkwy Suite 100","Charlotte, NC 28278","1533","$4,425.34","12/31/2021","256","262","1921","$10,738.77","W036P","https://www.dropbox.com/s/njemsqbapwlh9kf/1866%20Steelcroft%20Parkway%20Outside.jpg?dl=0","","DES1","End Cap Strip","","","YES","0","11","0","NO","","Installed","2","YES","0","0","NO","","",""
"","1868 Matthews","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Charlotte","1868","Matthews","1909 Matthews Township Pkwy Suite 1","Matthews, NC 28105","1500","$3,423.25","12/31/2019","109","101","1152","$1,654.39","K92V3","https://www.dropbox.com/s/d3biqyex9u39pfe/1868%20Matthews%20Outside.jpg?dl=0","","DES1","End Cap Strip","","","YES","0","11","0","NO","","Pending","1","NO","1","1","NO","","",""
"","2581 Indian Land","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Charlotte","2581","Indian Land","10022 Charlotte Hwy Suite 102","Indian Land, SC 29707","2540","$8,977.27","11/21/2019","118","109","1149","$2,347.02","T6UNN","https://www.dropbox.com/s/0ier9imnu738tku/2581%20Indian%20Land%20Outside.png?dl=0","https://www.dropbox.com/s/e43nmpb4upsdt3s/2581%20Indian%20Land%20Inside.png?dl=0","DES1","End Cap Strip","","","YES","2,","11","0","NO","","Installed","2","YES","0","0","NO","","",""
"","1133 College Park","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","DC/MD","1133","College Park","7300 Baltimore Ave Suite A","College Park, MD 20740","3359","$17,167.42","2/29/2020","170","176","1584","$1,210.48","06EQ2","https://www.dropbox.com/s/0h3n8bvirnxv69p/1133%20College%20Park%20Outside.jpg?dl=0","https://www.dropbox.com/s/4u3xz6x77dhv21l/1133%20College%20Park%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","11/7/2015","YES","0","11","0","NO","","Installed","4","YES","1","1","NO","","532",""
"","1134 DC Columbia","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","DC/MD","1134","DC Columbia","1759 Columbia Rd","Washington, DC 20008","2713","$13,725.85","1/31/2022","224","185","2226","$1,275.53","ZT7SL","https://www.dropbox.com/s/m2syf0z5l96a199/1134%20DC%20Columbia%20Outside.jpg?dl=0","https://www.dropbox.com/s/uhobl4lc0ub1zob/1134%20DC%20Columbia%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","12/16/2015","YES","0","13","0","NO","","Installed","3","YES","0","1","NO","","713",""
"","1178 Jenkins Row","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","DC/MD","1178","Jenkins Row","1391 Pennsylvania Ave SE","Washington, DC 20003","1512","$8,688.77","6/30/2020","178","153","1869","$1,100.30","HWZ5V","https://www.dropbox.com/s/58ybq9lghbeie36/1178%20Jenkins%20Row%20outside.jpg?dl=0","https://www.dropbox.com/s/b4oy46nxypi5lds/1178%20Jenkins%20Row%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","12/16/2015","YES","0","11","0","NO","","Pending","2","YES","1","2","NO","","760",""
"","1195 Rockville","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","DC/MD","1195","Rockville","1600 Rockville Pike","Rockville, MD 20852","5000","$28,196.07","1/31/2018","153","120","1503","$1,252.86","V5MHY","","","DES1","Inline Strip","Complete","10/7/2015","YES","1","13","0","27 Panel","","Installed","6","YES","1","2","NO","","177",""
"","1196 Reisterstown","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","DC/MD","1196","Reisterstown","11718 Reisterstown Rd","Reistertown, MD 21136","2130","$3,191.41","1/31/2018","95","73","1163","$1,010.07","QX99K","https://www.dropbox.com/s/hp25kd8cfneinx4/1196%20Reisterstown.jpg?dl=0","https://www.dropbox.com/s/daw06zfp0fwa6gg/1196%20Reisterstown%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","7/31/2015","YES","1","13","0","15 Panel","","Installed","4","YES","0","1","NO","","",""
"","1761 Iverson Mall","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","DC/MD","1761","Iverson Mall","3801 E Branch Ave","Temple Hills, MD 20748","1720","$4,590.00","8/31/2020","82","137","3115","$5,108.14","5EZLQ","https://www.dropbox.com/s/rb6e9wn7pncbh6o/1761%20Iverson%20Mall%20Outside.jpg?dl=0","https://www.dropbox.com/s/osv1emacn9cgiky/1761%20Iverson%20Mall%20Inside.jpg?dl=0","DES1","Mall","Complete","6/21/2016","YES","0","11","0","NO","","Denied","3","YES","1","1","NO","NO","",""
"","1762 Forestville Mall","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","DC/MD","1762","Forestville Mall","3393 Donnell Dr","Forestville, MD 20747","1349","$6,108.79","12/31/2020","129","167","3358","$8,056.52","LCVT9","https://www.dropbox.com/s/2u3tm8zfkrcye4n/1762%20Forestville%20Mall%20Outside.jpg?dl=0","https://www.dropbox.com/s/8z2kan908j8n489/1762%20Forestville%20Inside.jpg?dl=0","DES1","Mall","Complete","","YES","0","11","0","NO","","Denied","2","YES","1","1","NO","","",""
"","1763 St Charles Mall","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","DC/MD","1763","St Charles Mall","11110 Mall Circle","Waldorf, MD 20603","667","$6,658.24","12/31/2020","114","76","2621","$2,813.73","AZO7Y","https://www.dropbox.com/s/yvn65vsa3sld327/1763%20St%20Charles%20Mall%20Outside.jpg?dl=0","https://www.dropbox.com/s/phlemu7oemcfjjl/1763%20St%20Charles%20Mall%20Inside.jpg?dl=0","GEN","Mall","","","YES","0","5","0","NO","","Denied","0","NO","1","1","NO","NO","",""
"","1772 Bethesda","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","DC/MD","1772","Bethesda","4957 Elm St","Bethesda, MD 20814","1556","$10,762.95","8/31/2021","248","247","2231","$4,108.22","0S5OY","https://drive.google.com/a/springmobile.com/file/d/0B-X4fSVFRy6cX01KSGFQMDZJUW8/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B-X4fSVFRy6cc05HMW1ySlFnb3c/view?usp=sharing","DES1","Inline Strip","Complete","8/5/2016","YES","0","11","0","NO","","Installed","2","YES","0","1","NO","NO","356",""
"","1780 Clinton MD","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","DC/MD","1780","Clinton MD","8837 Branch Ave","Clinton, MD 20735","2000","$5,127.67","11/30/2020","96","126","2272","$1,500.74","FEXYV","https://www.dropbox.com/s/c99i1pq8y7ggeuc/1780%20Clinton%20MD%20Outside.jpg?dl=0","https://www.dropbox.com/s/9zkpc0t1bxz8tu3/1780%20Clinton%20MD%20Inside.jpg?dl=0","DES1","Inline Strip","","12/3/2015","YES","0","14","0","NO","","Installed","3","YES","0","2","NO","","263",""
"","1755 Front Royal","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Manassas","1755","Front Royal","50 Riverton Commons Plaza Suite 10C","Front Royal, VA 22630","1600","$5,800.00","5/31/2018","163","145","1606","$4,070.88","5YYSZ","https://www.dropbox.com/s/rbasj9oxnl5gn48/1755%20Front%20Royal%20Outside.jpg?dl=0","https://www.dropbox.com/s/p87203ykuct1rp1/1755%20Front%20Royal%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","6/22/2016","YES","2","11","0","NO","","Installed","3","YES","0","2","NO","NO","",""
"","1756 Bull Run","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Manassas","1756","Bull Run","7803B Sudley Rd Suite 103","Manassas, VA 20109","2854","$13,328.49","6/30/2020","319","312","2691","$22,000.58","M69J6","https://www.dropbox.com/s/a3ougl4wrfuv7up/1756%20Bull%20Run%20Outside.jpg?dl=0","https://www.dropbox.com/s/az0uhv4efzpq13q/1756%20Bull%20Run%20Inside.jpg?dl=0","DES2","End Cap Strip","Complete","","YES","0","11","0","NO","Installed","Installed","0","YES","1","2","NO","NO","",""
"","1757 Warrenton","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Manassas","1757","Warrenton","181 W Lee Hwy","Warrenton, VA 20186","2217","$5,700.44","8/31/2019","253","306","2647","$24,585.52","GP2SA","https://www.dropbox.com/s/yljy4446rzcl0jz/1757%20Warrenton%20Outside.jpg?dl=0","https://www.dropbox.com/s/7wnued78f21ief5/1757%20Warrenton%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","","YES","2","12","0","NO","","Installed","5","YES","1","2","NO","NO","",""
"","1758 Atlas Walk","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Manassas","1758","Atlas Walk","7363 Atlas Walk Way","Gainesville, VA 20155","1752","$7,641.87","2/17/2020","192","209","2479","$20,435.23","V5GF9","https://www.dropbox.com/s/vhx8d4th0mafw6h/1758%20Atlas%20Walk%20Outside.jpg?dl=0","https://www.dropbox.com/s/qbujl1d2hw1vyna/1758%20Atlas%20Walk%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","","YES","0","15","0","NO","","Installed","3","YES","1","2","NO","YES","","Curb sign ok"
"","1759 Liberia Ave","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Manassas","1759","Liberia Ave","9526 Liberia Ave","Manassas, VA 20110","1600","$6,288.83","8/31/2019","193","218","2036","$16,717.54","RDP9Z","https://www.dropbox.com/s/lgyn4mbnod76mn8/1759%20Liberia%20Ave%20Outside.jpg?dl=0","https://www.dropbox.com/s/g34vczj8608077l/1759%20Liberia%20Ave%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","","YES","0","12","0","NO","","Installed","3","YES","1","2","NO","YES","",""
"","1760 Stonewall Shops","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Manassas","1760","Stonewall Shops","7905 Stonewall Shops Square","Gainesville, VA 20155","1516","$6,000.15","12/31/2019","125","105","1314","$3,782.45","EKT8Q","https://www.dropbox.com/s/9rzz3bg1eej5ce8/1760%20Stonewall%20Shops%20Outside.jpg?dl=0","https://www.dropbox.com/s/54yssi4mlo7hzse/1760%20Stonewall%20Shops%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","2/6/2017","NO","0","11","0","NO","","Installed","3","YES","1","2","NO","","",""
"","1765 Bealeton","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Manassas","1765","Bealeton","11083 Marsh Rd","Bealeton, VA 22712","1103","$3,977.44","1/31/2019","57","77","1010","$3,498.54","E8NKC","https://www.dropbox.com/s/yvabutwu3cv6nl3/1765%20Bealeton%20Outside.jpg?dl=0","https://www.dropbox.com/s/lmi648c9i7k0m6m/1765%20Bealeton%20Inside.jpg?dl=0","GEN","End Cap Strip","","","YES","2","10","0","NO","","Installed","0","NO","0","0","NO","NO","",""
"","1766 Bristow","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Manassas","1766","Bristow","10290 Bristow Center Dr","Bristow, VA 20136","1500","$6,994.43","7/31/2017","63","77","764","$2,939.04","WKYOM","https://www.dropbox.com/s/irvrs5egxk8kfm1/1766%20Bristow%20Outside.jpg?dl=0","https://www.dropbox.com/s/fd09ei68bhu5x7i/1766%20Bristow%20Inside.jpg?dl=0","GEN","Inline Strip","","","YES","2","21","0","NO","","Installed","0","NO","0","0","NO","","",""
"","1782 Fredericksburg","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Manassas","1782","Fredericksburg","28 S Gateway Dr","Fredericksburg, VA 22406","1760","$6,033.87","12/31/2020","115","105","1015","$984.28","TE0UY","https://www.dropbox.com/s/z2l3038kspjf0dl/1782%20Fredericksburg%20Outside.jpg?dl=0","https://www.dropbox.com/s/xomiyw5sggry6th/1782%20Fredericksburg%20Inside.jpg?dl=0","DES1","Inline Strip","","","YES","2","12","0","NO","","Installed","3","YES","2","2","NO","","157",""
"","1197 Fashion Square VA","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Richmond","1197","Fashion Square VA","1553 Rio Rd E","Charlottesville, VA 22901","2490","$5,511.61","2/29/2020","69","77","1948","$797.92","IX7N9","https://www.dropbox.com/s/zw09kcf8iwabthc/1197%20Fashion%20Square%20VA%20Outside.jpg?dl=0","https://www.dropbox.com/s/n9flkvqp380btve/1197%20Fashion%20Square%20VA%20Inside.jpg?dl=0","DES1","Mall","Complete","8/26/2015","YES","0","11","0","15 Panel","","Pending","4","YES","1","2","NO","","115",""
"","1773 Carytown","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Richmond","1773","Carytown","3148 W Cary St","Richmond, VA 23221","1881","$3,779.56","11/30/2017","88","82","1256","$1,296.26","4653K","https://www.dropbox.com/s/wc4xehdyoje10p8/1773%20Carrytown%20Outside.jpg?dl=0","https://www.dropbox.com/s/8xtutrrluawsqvr/1773%20Carrytown%20Inside.jpg?dl=0","DES2","Inline Strip","Complete","","YES","0","11","0","NO","","Installed","0","NO","1","2","NO","","",""
